"player","avg_min_per_game","SalaryMean"
"Precious Achiuwa",22.1625,5799607
"Raul Neto",20.8341463414634,1836090
"Reggie Bullock",29.2673267326733,12976800
"Reggie Jackson",28.2118644067797,11215260
"Richaun Holmes",27.1989795918367,16061360
"Ricky Rubio",26.4254237288136,9611789.33333333
"RJ Barrett",34.7028169014085,44980127
"Robert Covington",30.0181818181818,17846154
"Robert Williams",27.7202702702703,21765625.5
"Royce O'Neale",31.3918918918919,10600000
"Rudy Gobert",31.4262773722628,63620689.5
"Rui Hachimura",29.8285714285714,6263188
"Russell Westbrook",35.2545454545455,47063478
"Saddiq Bey",30.7622222222222,6036523
"Scottie Barnes",35.4,11264313.3333333
"Serge Ibaka",20.5190476190476,1836090
"Seth Curry",31.932972972973,8496653
"Shai Gilgeous-Alexander",34.3153846153846,65537150
"Spencer Dinwiddie",29.5276190476191,25599998.5
"Stanley Johnson",20.7525,2351521
"Stephen Curry",34.3511811023622,95659327.5
"Steven Adams",26.9105263157895,22775609.6666667
"Svi Mykhailiuk",19.4060606060606,1878720
"Talen Horton-Tucker",24.3130434782609,10640000
"Taurean Prince",20.4571428571429,11297500
"Terance Mann",26.3441860465116,15310227
"Terry Rozier",34.0887323943662,42757768
"Thaddeus Young",23.576,8500000
"Théo Maledon",26.2,1900000
"Tim Hardaway Jr.",28.8705882352941,29261365
"Tobias Harris",33.7437037037037,58086675
"Tony Bradley",13.7217391304348,2036318
"Torrey Craig",19.4375,5121951
"Trae Young",34.3561151079137,78644580
"Tre Mann",22.8,4779124.33333333
"Trey Lyles",20.4745454545455,2625000
"Tyler Herro",31.22,49144423.2
"Tyrese Haliburton",34.4545977011494,7915995
"Tyrese Maxey",33.3487804878049,5707360
"Tyus Jones",20.159375,21500000
"Victor Oladipo",32.5611940298507,9100000
"Wendell Carter Jr.",27.3114093959732,21462500
"Wesley Matthews",20.025,1836090
"Will Barton",31.6349593495935,14375000
"Zach LaVine",34.8856,68851104
"Ziaire Williams",21.7,6781695
"Zion Williamson",33.2,66539136.1666667
